Requirement,Description
Legal Marriage,Marriage must be legally valid and registered in Spain.
Residency,One year of legal residency in Spain with a Spanish spouse.
Integration,Demonstrate integration into Spanish society.
Language Proficiency,Pass the DELE A2 level Spanish language exam.
Knowledge of Spanish Culture,Pass the CCSE (Constitutional and Sociocultural Knowledge of Spain) exam.
Marriage Certificate,Proof of legal marriage.
Birth Certificates,Applicant's and Spanish spouse's birth certificates.
Valid Passport,Applicant's valid passport.
Proof of Residency,Documents demonstrating legal residency in Spain (e.g., "empadronamiento").
Criminal Record Certificate,From applicant's country of origin and potentially Spain.
DELE and CCSE Exam Certificates,Proof of passing required exams.
Proof of payment of application fees,Proof that the application fees have been paid.
Proof of Cohabitation,Documentation that demonstrates cohabitation.
